window,z_entry,z_exit,total_profit,trades,avg_profit,win_rate
11,2.2,0.1,-403.0,14,-28.785714285714285,0.14285714285714285
11,2.2,0.3,-296.0,23,-12.869565217391305,0.21739130434782608
11,2.2,0.5,-201.0,25,-8.04,0.24
11,2.2,0.7,-243.0,26,-9.346153846153847,0.15384615384615385
11,2.2,0.9,-232.0,27,-8.592592592592593,0.14814814814814814
11,2.4,0.1,-218.0,9,-24.22222222222222,0.2222222222222222
11,2.4,0.3,-134.0,10,-13.4,0.2
11,2.4,0.5,-95.0,11,-8.636363636363637,0.18181818181818182
11,2.4,0.7,-73.0,11,-6.636363636363637,0.18181818181818182
11,2.4,0.9,-43.0,12,-3.5833333333333335,0.16666666666666666
12,0.8,0.1,-347.0,26,-13.346153846153847,0.3076923076923077
12,0.8,0.3,-419.0,67,-6.253731343283582,0.3582089552238806
12,0.8,0.5,-452.0,96,-4.708333333333333,0.3020833333333333
12,0.8,0.7,-602.0,111,-5.423423423423423,0.2882882882882883
12,0.8,0.9,-567.0,129,-4.395348837209302,0.3023255813953488
12,1.0,0.1,-78.0,25,-3.12,0.4
12,1.0,0.3,-461.0,65,-7.092307692307692,0.3230769230769231
12,1.0,0.5,-377.0,90,-4.188888888888889,0.32222222222222224
12,1.0,0.7,-528.0,104,-5.076923076923077,0.2980769230769231
12,1.0,0.9,-508.0,118,-4.305084745762712,0.3050847457627119
12,1.2,0.1,-191.0,25,-7.64,0.4
12,1.2,0.3,-264.0,58,-4.551724137931035,0.39655172413793105
12,1.2,0.5,-291.0,78,-3.730769230769231,0.3717948717948718
12,1.2,0.7,-449.0,92,-4.880434782608695,0.30434782608695654
12,1.2,0.9,-493.0,102,-4.833333333333333,0.29411764705882354
12,1.4,0.1,-199.0,24,-8.291666666666666,0.375
12,1.4,0.3,-467.0,55,-8.49090909090909,0.34545454545454546
12,1.4,0.5,-466.0,71,-6.563380281690141,0.323943661971831
12,1.4,0.7,-565.0,81,-6.9753086419753085,0.2716049382716049
12,1.4,0.9,-576.0,89,-6.47191011235955,0.25842696629213485
12,1.6,0.1,-216.0,23,-9.391304347826088,0.34782608695652173
12,1.6,0.3,-537.0,48,-11.1875,0.22916666666666666
12,1.6,0.5,-505.0,64,-7.890625,0.234375
12,1.6,0.7,-613.0,72,-8.51388888888889,0.19444444444444445
12,1.6,0.9,-632.0,78,-8.102564102564102,0.1794871794871795
12,1.8,0.1,-183.0,22,-8.318181818181818,0.36363636363636365
12,1.8,0.3,-446.0,43,-10.372093023255815,0.2558139534883721
12,1.8,0.5,-451.0,55,-8.2,0.2545454545454545
12,1.8,0.7,-557.0,60,-9.283333333333333,0.16666666666666666
12,1.8,0.9,-578.0,63,-9.174603174603174,0.15873015873015872
12,2.0,0.1,-239.0,20,-11.95,0.35
12,2.0,0.3,-439.0,36,-12.194444444444445,0.2777777777777778
12,2.0,0.5,-445.0,43,-10.348837209302326,0.23255813953488372
12,2.0,0.7,-437.0,46,-9.5,0.15217391304347827
12,2.0,0.9,-440.0,48,-9.166666666666666,0.16666666666666666
12,2.2,0.1,-180.0,15,-12.0,0.3333333333333333
